date,store,category,product,price,was,discount_pct,url,image
2026-07-01,Rock + Run,🛡️ Slings & Cords,Fido Pro Remi Runner Leash - Size 1 Size - Red (Outlet) — 1 Size,£16.80,£56.00,70,https://rockrun.com/products/outlet-feb26-fido-pro-fido-pro-remi-runner-leash-size-1-size-red,https://cdn.shopify.com/s/files/1/1554/2851/files/remi-runner-red_jpg.webp?v=1770218449
2026-07-01,Rock + Run,🛡️ Slings & Cords,Fido Pro Remi Runner Leash - Size 1 Size - Black (Outlet) — 1 Size,£16.80,£56.00,70,https://rockrun.com/products/outlet-feb26-fido-pro-fido-pro-remi-runner-leash-size-1-size-black,https://cdn.shopify.com/s/files/1/1554/2851/files/remi-runner-black_jpg_7df56e70-6fb2-4f54-9fda-a3271d98016c.webp?v=1770218446
2026-07-01,Rock + Run,🔒 Harnesses,Fido Pro Panza Harness - Size 1 Size - Red (Outlet) — 1 Size,£37.50,£125.00,70,https://rockrun.com/products/outlet-feb26-fido-pro-fido-pro-panza-harness-size-1-size-red,https://cdn.shopify.com/s/files/1/1554/2851/files/panza-harness-red_jpg.webp?v=1770218443
2026-07-01,Rock + Run,🔒 Harnesses,Fido Pro Panza Harness - Size 1 Size - Black (Outlet) — 1 Size,£37.50,£125.00,70,https://rockrun.com/products/outlet-feb26-fido-pro-fido-pro-panza-harness-size-1-size-black,https://cdn.shopify.com/s/files/1/1554/2851/files/panza-harness-black_jpg_8746a991-073e-49f2-94a7-84bf22a38bf9.webp?v=1776440433
2026-07-01,Rock + Run,🛡️ Slings & Cords,Metolius Single loop gear sling - Size 1 Size (Outlet) — 1 Size,£9.95,£30.00,67,https://rockrun.com/products/outlet-feb26-metolius-single-loop-gear-sling-size-1-size,https://cdn.shopify.com/s/files/1/1554/2851/files/metolius-adjustable-gear-sling-gear-sling.jpg?v=1770723434
2026-07-01,Dick's Climbing,👟 Climbing Shoes,"Scarpa Vapor V, Women — 1½ / 34",£46.00,£115.00,60,https://www.dicksclimbing.com/products/scarpa-vapor-v-women-old,https://cdn.shopify.com/s/files/1/0219/9358/products/Shoes-93.jpg?v=1651850410
2026-07-01,Rock + Run,🔒 Harnesses,Rock Empire Canicross Harness - Size 1 Size - Red (Outlet) — 1 Size,£17.60,£44.00,60,https://rockrun.com/products/outlet-feb26-rock-empire-canicross-harness-size-1-size-red,https://cdn.shopify.com/s/files/1/1554/2851/files/ce542e769c8220e2c132f6beb4f6f48809c00ad49cdcd986243f33a11f93fb35.png?v=1770390904
2026-07-01,Rock + Run,🔒 Harnesses,Rock Empire Canicross Harness - Size 1 Size - Blue (Outlet) — 1 Size,£17.60,£44.00,60,https://rockrun.com/products/outlet-feb26-rock-empire-canicross-harness-size-1-size-blue,https://cdn.shopify.com/s/files/1/1554/2851/files/3361ce4f218cbdc01fac624e897403cc680382a375fd38f5a20ba56e84b674e4.png?v=1770390901
2026-07-01,Dick's Climbing,🔗 Carabiners,Rock Empire - HMS Smart S — Aqua,£10.00,£20.00,50,https://www.dicksclimbing.com/products/rock-empire-hms-smart-s,https://cdn.shopify.com/s/files/1/0219/9358/files/Rock-Empire-Smart-HMS-001.jpg?v=1769692170
2026-07-01,Dick's Climbing,🔗 Carabiners,Rock Empire - HMS Smart S — Lime,£10.00,£20.00,50,https://www.dicksclimbing.com/products/rock-empire-hms-smart-s,https://cdn.shopify.com/s/files/1/0219/9358/files/Rock-Empire-Smart-HMS-001.jpg?v=1769692170
2026-07-01,Dick's Climbing,🔗 Carabiners,Rock Empire - HMS Smart S — Grey,£10.00,£20.00,50,https://www.dicksclimbing.com/products/rock-empire-hms-smart-s,https://cdn.shopify.com/s/files/1/0219/9358/files/Rock-Empire-Smart-HMS-001.jpg?v=1769692170
2026-07-01,Tiso,👟 Climbing Shoes,Jett LU Rock Climbing Shoes — Grey / UK5 / EU38,£63.00,£105.00,40,https://www.tiso.com/products/ocun-u-jett-lu-unisex-grey-fwrbt4ti0141,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_FWRBT4TI0141_a.jpg?v=1765186353
2026-07-01,Tiso,👟 Climbing Shoes,Jett LU Rock Climbing Shoes — Grey / UK6 / EU39,£63.00,£105.00,40,https://www.tiso.com/products/ocun-u-jett-lu-unisex-grey-fwrbt4ti0141,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_FWRBT4TI0141_a.jpg?v=1765186353
2026-07-01,Tiso,👟 Climbing Shoes,Jett LU Rock Climbing Shoes — Grey / UK7 / EU40,£63.00,£105.00,40,https://www.tiso.com/products/ocun-u-jett-lu-unisex-grey-fwrbt4ti0141,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_FWRBT4TI0141_a.jpg?v=1765186353
2026-07-01,Tiso,👟 Climbing Shoes,Jett LU Rock Climbing Shoes — Grey / UK8 / EU41,£63.00,£105.00,40,https://www.tiso.com/products/ocun-u-jett-lu-unisex-grey-fwrbt4ti0141,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_FWRBT4TI0141_a.jpg?v=1765186353
2026-07-01,Tiso,👟 Climbing Shoes,Jett LU Rock Climbing Shoes — Grey / UK9 / EU42,£63.00,£105.00,40,https://www.tiso.com/products/ocun-u-jett-lu-unisex-grey-fwrbt4ti0141,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_FWRBT4TI0141_a.jpg?v=1765186353
2026-07-01,Tiso,👟 Climbing Shoes,Jett LU Rock Climbing Shoes — Grey / UK10 / EU43,£63.00,£105.00,40,https://www.tiso.com/products/ocun-u-jett-lu-unisex-grey-fwrbt4ti0141,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_FWRBT4TI0141_a.jpg?v=1765186353
2026-07-01,Tiso,👟 Climbing Shoes,Jett LU Rock Climbing Shoes — Grey / UK11 / EU45,£63.00,£105.00,40,https://www.tiso.com/products/ocun-u-jett-lu-unisex-grey-fwrbt4ti0141,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_FWRBT4TI0141_a.jpg?v=1765186353
2026-07-01,Tiso,🪢 Ropes,Lithium 2 8.5mm Climbing Rope 60M - Blue — Blue / OS,£102.00,£170.00,40,https://www.tiso.com/products/edelweis-lithium-2-8-5-blue,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_EAMGT5TI0162_a.jpg?v=1764089180
2026-07-01,Tiso,🪢 Ropes,Lithium 2 8.5mm Climbing Rope 60M - Yellow — Yellow / OS,£102.00,£170.00,40,https://www.tiso.com/products/edelweis-lithium-2-8-5-yellow,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_EAMGT5TI0161_b.png?v=1767709665
2026-07-01,Tiso,🧗 Ascenders,Ascender 7 Trail Running Backpack - Black — Black / OS,£60.00,£100.00,40,https://www.tiso.com/products/deuter-ascender-7-unisex-black,https://cdn.shopify.com/s/files/1/0935/1833/2245/files/ti_EARSG2TI1119_a.jpg?v=1764091299
2026-07-01,Dick's Climbing,🪢 Ropes,Edelweiss - 10mm Flashlight II — 60m / Red / Black,£96.00,£160.00,40,https://www.dicksclimbing.com/products/edelweiss-10mm-flashlight-ii,https://cdn.shopify.com/s/files/1/0219/9358/files/Edelweiss-10-Flashlight-001-2.jpg?v=1755261471
2026-07-01,Dick's Climbing,🪢 Ropes,Edelweiss - 10mm Flashlight II — 60m / Red,£96.00,£160.00,40,https://www.dicksclimbing.com/products/edelweiss-10mm-flashlight-ii,https://cdn.shopify.com/s/files/1/0219/9358/files/Edelweiss-10-Flashlight-001-2.jpg?v=1755261471
